id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_kesehatan,satuan,tahun,jumlah_kasus_ims,jumlah_balita_giziburuk,jumlah_bayi_giziburuk,persentase_keluhan_kesehatan
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,77.43,POIN,2010,,,,
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,76.1,POIN,2010,,,,
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75.02,POIN,2010,,,,
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.44,POIN,2010,,,,
5,32,JAWA BARAT,3205,KABUPATEN GARUT,77.44,POIN,2010,,,,
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73.14,POIN,2010,,,,
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,76.91,POIN,2010,,,,
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80.06,POIN,2010,,,,
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,78.6,POIN,2010,,,,
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,74.18,POIN,2010,,,,
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.5,POIN,2010,,,,
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,76.91,POIN,2010,,,,
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,78.53,POIN,2010,,,,
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,76.73,POIN,2010,,,,
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.0,POIN,2010,,,,
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,81.43,POIN,2010,,,,
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79.23,POIN,2010,,,,
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2010,,,,
19,32,JAWA BARAT,3271,KOTA BOGOR,80.83,POIN,2010,,,,
20,32,JAWA BARAT,3272,KOTA SUKABUMI,79.46,POIN,2010,,,,
21,32,JAWA BARAT,3273,KOTA BANDUNG,82.64,POIN,2010,,,,
22,32,JAWA BARAT,3274,KOTA CIREBON,79.41,POIN,2010,,,,
23,32,JAWA BARAT,3275,KOTA BEKASI,83.27,POIN,2010,,,,
24,32,JAWA BARAT,3276,KOTA DEPOK,82.82,POIN,2010,,,,
25,32,JAWA BARAT,3277,KOTA CIMAHI,82.35,POIN,2010,,,,
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,78.05,POIN,2010,,,,
27,32,JAWA BARAT,3279,KOTA BANJAR,76.82,POIN,2010,,,,
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,77.52,POIN,2011,,,,
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,76.22,POIN,2011,,,,
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75.17,POIN,2011,,,,
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.45,POIN,2011,,,,
32,32,JAWA BARAT,3205,KABUPATEN GARUT,77.52,POIN,2011,,,,
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73.34,POIN,2011,,,,
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,77.06,POIN,2011,,,,
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80.16,POIN,2011,,,,
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,78.69,POIN,2011,,,,
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,74.38,POIN,2011,,,,
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.59,POIN,2011,,,,
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,77.05,POIN,2011,,,,
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,78.6,POIN,2011,,,,
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,76.77,POIN,2011,,,,
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.04,POIN,2011,,,,
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,81.54,POIN,2011,,,,
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79.27,POIN,2011,,,,
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,POIN,2011,,,,
46,32,JAWA BARAT,3271,KOTA BOGOR,80.84,POIN,2011,,,,
47,32,JAWA BARAT,3272,KOTA SUKABUMI,79.52,POIN,2011,,,,
48,32,JAWA BARAT,3273,KOTA BANDUNG,82.67,POIN,2011,,,,
49,32,JAWA BARAT,3274,KOTA CIREBON,79.47,POIN,2011,,,,
50,32,JAWA BARAT,3275,KOTA BEKASI,83.28,POIN,2011,,,,
51,32,JAWA BARAT,3276,KOTA DEPOK,82.88,POIN,2011,,,,
52,32,JAWA BARAT,3277,KOTA CIMAHI,82.37,POIN,2011,,,,
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,78.18,POIN,2011,,,,
54,32,JAWA BARAT,3279,KOTA BANJAR,76.97,POIN,2011,,,,
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,77.58,POIN,2012,,,,
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,76.35,POIN,2012,,,,
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75.33,POIN,2012,,,,
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.47,POIN,2012,,,,
59,32,JAWA BARAT,3205,KABUPATEN GARUT,77.58,POIN,2012,,,,
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73.53,POIN,2012,,,,
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,77.22,POIN,2012,,,,
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80.23,POIN,2012,,,,
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,78.77,POIN,2012,,,,
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,74.58,POIN,2012,,,,
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.68,POIN,2012,,,,
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,77.19,POIN,2012,,,,
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,78.68,POIN,2012,,,,
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,76.82,POIN,2012,,,,
